timestamp,song_name,artist,valence,energy,hour
01-11-2025 00:03,Barbaad,The Rish,0.28,0.51,0
01-11-2025 00:07,Hurts So Good,Astrid S,0.38,0.61,0
01-11-2025 00:14,Brooklyn Baby,Lana Del Rey,0.09,0.66,0
01-11-2025 02:25,supenatural,Ariana Grande,0.52,0.71,2
01-11-2025 02:30,Hurts So Good,Astrid S,0.38,0.61,2
01-11-2025 12:24,Barbaad,The Rish,0.28,0.51,12
01-11-2025 16:30,Sunflower,"Post Malone, Swae Lee",0.91,0.48,16
01-11-2025 16:35,Promise,Jimin,0.74,0.18,16
01-11-2025 16:40,Attention,NewJeans,0.7,0.65,16
01-11-2025 16:47,WILDFLOWER,Billie Eilish,0.13,0.25,16
01-11-2025 20:39,Sunflower,"Post Malone, Swae Lee",0.91,0.48,20
01-11-2025 20:42,Apocalypse,Cigarettes After Sex,0.17,0.47,20
01-11-2025 20:48,All The Stars,Kendrick Lamar,0.55,0.63,20
01-11-2025 20:53,FAKE LOVE,BTS,0.35,0.72,20
02-11-2025 00:04,Wait On Me,KAI,0.36,0.87,0
02-11-2025 00:09,Love wins all,IU,0.32,0.45,0
02-11-2025 00:12,ONLY,LeeHi,0.15,0.3,0
02-11-2025 12:41,Glimpse of Us,Joji,0.27,0.29,12
02-11-2025 12:47,NO,Meghan Trainor,0.66,0.8,12
02-11-2025 12:54,CHIHIRO,Billie Eilish,0.52,0.43,12
02-11-2025 15:24,Shy (eh o),PENOMECO,0.91,0.66,15
02-11-2025 15:27,Apocalypse,Cigarettes After Sex,0.17,0.47,15
02-11-2025 15:33,august,Taylor Swift,0.4,0.62,15
02-11-2025 15:39,Shy (eh o),PENOMECO,0.91,0.66,15
02-11-2025 15:44,São Paulo,The Weekend,0.55,0.66,15
02-11-2025 15:51,Attention,NewJeans,0.7,0.65,15
02-11-2025 15:58,São Paulo,The Weekend,0.55,0.66,15
02-11-2025 16:03,Magic Shop,BTS,0.28,0.66,16
02-11-2025 19:29,Still With You,Jung Kook,0.34,0.47,19
02-11-2025 20:48,august,Taylor Swift,0.4,0.62,20
02-11-2025 20:55,Love wins all,IU,0.32,0.45,20
02-11-2025 21:01,Young and Beautiful,Lana Del Rey,0.15,0.42,21
02-11-2025 21:07,Attention,NewJeans,0.7,0.65,21
02-11-2025 21:10,Brooklyn Baby,Lana Del Rey,0.09,0.66,21
03-11-2025 00:46,Killin' It Girl,J-Hope,0.8,0.89,0
03-11-2025 00:50,WILDFLOWER,Billie Eilish,0.13,0.25,0
03-11-2025 00:56,Hurts So Good,Astrid S,0.38,0.61,0
03-11-2025 01:02,ONLY,LeeHi,0.15,0.3,1
03-11-2025 01:05,Young and Beautiful,Lana Del Rey,0.15,0.42,1
04-11-2025 12:08,Humsafar,Sachet-Parampara,0.53,0.77,12
04-11-2025 15:24,Attention,NewJeans,0.7,0.65,15
04-11-2025 17:23,Still With You,Jung Kook,0.34,0.47,17
04-11-2025 19:27,Humsafar,Sachet-Parampara,0.53,0.77,19
04-11-2025 23:25,Die With A Smile,Lady Gaga,0.54,0.59,23
04-11-2025 23:30,I Wanna Be Yours,Arctic Monkeys,0.48,0.42,23
04-11-2025 23:35,Harleys In Hawaii,Katy Perry,0.72,0.76,23
04-11-2025 23:42,Wait On Me,KAI,0.36,0.87,23
04-11-2025 23:46,NO,Meghan Trainor,0.66,0.8,23
04-11-2025 23:52,pov,Ariana Grande,0.17,0.53,23
04-11-2025 23:57,NO,Meghan Trainor,0.66,0.8,23
05-11-2025 00:00,Paper Hearts,Tori Kelly,0.24,0.23,0
